Membership No  Date Joined  Active  
    33111      2018-3-16    no    
    97949      2020-11-2    no    
    89904      2017-8-3     no    
    34415      2016-1-7     no    
    38118      2019-11-4    no    
    97118      2018-4-14    no    
    43368      2017-3-15    no    
    33970      2017-7-13    no    
    45263      2017-8-8     no    
    64012      2017-3-9     no    
    96617      2020-11-20   no    
    16406      2016-4-19    no    
    73149      2018-3-14    no    
    14937      2015-3-10    no    
    58977      2018-2-15    no    
